City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Havre-Saint-Pierre,CA,50.2334,-63.5986,15.8,86,90,14.97,light snow
250,Norman Wells,CA,65.282,-126.8329,-18.4,76,40,6.91,scattered clouds
251,Maniitsoq,GL,65.4167,-52.9,19.49,82,10,8.46,clear sky
252,Beausejour,CA,50.0622,-96.5167,15.01,85,92,1.14,overcast clouds
253,Namibe,AO,-15.1961,12.1522,78.8,65,75,16.11,broken clouds
254,Ferme-Neuve,CA,46.7001,-75.4493,-2.2,65,90,11.5,overcast clouds
255,Preobrazheniye,RU,42.9019,133.9064,21.04,86,0,4.29,clear sky
256,Nanortalik,GL,60.1432,-45.2371,25.77,89,0,5.73,clear sky
257,Jinchang,CN,38.4953,102.1739,28.76,73,100,3.42,overcast clouds
258,Talnakh,RU,69.4865,88.3972,-35.66,67,32,0.6,scattered clouds
259,Uxbridge,US,42.0773,-71.6295,28.0,2,0,11.99,clear sky
260,Forio,IT,40.7342,13.8646,57.99,61,4,11.99,clear sky
261,Balkanabat,TM,39.5108,54.3671,35.82,72,25,7.45,scattered clouds
262,Hua Hin,TH,12.5707,99.9588,74.01,70,0,8.75,clear sky
263,Mardin,TR,37.3131,40.7436,48.2,34,20,5.97,few clouds
264,Kribi,CM,2.95,9.9167,82.87,71,99,7.7,overcast clouds
265,Kaitangata,NZ,-46.2817,169.8464,57.0,40,29,11.01,scattered clouds
266,Sao Lourenco Da Serra,BR,-23.8525,-46.9425,82.4,50,0,9.22,clear sky
267,Gidole,ET,5.65,37.3667,67.98,52,91,1.92,overcast clouds
268,Klaksvik,FO,62.2266,-6.589,32.0,80,20,6.91,few clouds
269,Lundamo,NO,63.1333,10.3,32.0,93,100,5.35,overcast clouds
270,Vaitape,PF,-16.5167,-151.75,79.95,74,16,12.57,moderate rain
271,Cervo,ES,43.6702,-7.4101,55.0,91,100,11.99,overcast clouds
272,Shakiso,ET,5.75,38.9167,73.18,45,71,7.05,broken clouds
273,Fairbanks,US,64.8378,-147.7164,3.2,85,1,3.44,clear sky
274,Cururupu,BR,-1.8283,-44.8683,82.71,79,37,5.46,moderate rain
275,Kamaishi,JP,39.2667,141.8833,32.23,93,100,5.88,overcast clouds
276,Kailua,US,21.4022,-157.7394,73.4,100,90,17.27,light rain
277,Sao Joao Do Piaui,BR,-8.3581,-42.2467,88.29,40,99,8.16,light rain
278,Dhidhdhoo,MV,6.8833,73.1,82.53,71,79,7.49,broken clouds
279,Aden,YE,12.7794,45.0367,77.02,67,31,12.01,scattered clouds
280,Rafai,CF,4.95,23.9167,98.89,15,87,5.32,overcast clouds
281,Srandakan,ID,-7.9386,110.2506,79.11,79,100,3.11,overcast clouds
282,Lompoc,US,34.6391,-120.4579,46.4,93,90,1.99,overcast clouds
283,Kerrville,US,30.0474,-99.1403,51.8,93,90,6.91,mist
284,Ayolas,PY,-27.4,-56.9,90.46,52,51,3.94,broken clouds
285,Deputatskiy,RU,69.3,139.9,-40.16,84,81,0.43,broken clouds
286,Gravelbourg,CA,49.8834,-106.5512,15.8,86,56,11.5,broken clouds
287,Wote,KE,-1.7808,37.6288,72.54,75,92,8.75,overcast clouds
288,Haapiti,PF,-17.5667,-149.8667,75.2,78,20,3.44,light rain
289,Monrovia,LR,6.3005,-10.7969,89.6,66,75,10.74,broken clouds
290,Malinyi,TZ,-8.9333,36.1333,81.91,85,83,2.91,light rain
291,Kirakira,SB,-10.4544,161.9205,79.7,75,97,5.84,overcast clouds
292,Tromso,NO,69.6496,18.957,21.2,49,75,13.8,broken clouds
293,Vostok,RU,46.4856,135.8833,1.49,89,95,4.83,overcast clouds
294,Leshukonskoye,RU,64.8989,45.7622,0.88,93,100,11.95,light snow
295,Anloga,GH,5.7947,0.8973,93.2,24,20,3.44,haze
296,Clyde River,CA,70.4692,-68.5914,-5.8,84,90,3.44,overcast clouds
297,Tatawin,TN,32.9297,10.4518,66.2,26,0,11.5,clear sky
298,Meadow Lake,US,34.8014,-106.5436,36.0,80,40,8.79,scattered clouds
299,East London,ZA,-33.0153,27.9116,96.8,46,0,11.5,clear sky
300,Masunga,BW,-20.6246,27.4488,82.4,57,75,9.22,broken clouds
301,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,51,40,11.5,scattered clouds
302,Thurso,GB,58.5927,-3.5259,33.8,80,56,9.22,broken clouds
303,Chuy,UY,-33.6971,-53.4616,81.99,62,44,10.98,scattered clouds
304,San Cristobal,VE,7.7669,-72.225,78.8,78,40,3.44,scattered clouds
305,Katsuura,JP,35.1333,140.3,41.0,93,75,26.46,moderate rain
306,Kotido,UG,2.9806,34.1331,82.69,34,99,19.55,overcast clouds
307,Kathmandu,NP,27.7167,85.3167,51.8,82,20,5.75,few clouds
308,Teahupoo,PF,-17.8333,-149.2667,77.0,78,20,3.44,few clouds
309,Colares,PT,38.7992,-9.4469,61.0,94,75,18.41,mist
310,Bosaso,SO,11.2842,49.1816,77.0,69,0,12.66,clear sky
311,Mariestad,SE,58.7097,13.8237,37.4,81,100,8.05,overcast clouds
312,Ilulissat,GL,69.2167,-51.1,19.4,49,1,2.3,clear sky
313,Adolfo Lopez Mateos,MX,28.4667,-107.3,38.28,69,0,4.54,clear sky
314,Beloslav,BG,43.1833,27.7,57.2,62,40,10.36,scattered clouds
315,Jacareacanga,BR,-6.2222,-57.7528,88.52,55,80,4.29,broken clouds
316,Prince Rupert,CA,54.3161,-130.3201,33.8,93,90,4.61,overcast clouds
317,Mosjoen,NO,65.836,13.1908,26.6,59,0,13.8,clear sky
318,Bedford,GB,52.1346,-0.4663,39.0,87,40,11.5,scattered clouds
319,Limbang,MY,4.75,115.0,80.01,89,75,1.14,moderate rain
320,Manokwari,ID,-0.8667,134.0833,78.93,81,83,4.63,broken clouds
321,Marathon,US,44.9,-89.7668,3.99,78,1,4.0,clear sky
322,Ovalle,CL,-30.5983,-71.2003,80.28,41,15,5.88,few clouds
323,Lokoja,NG,7.8024,6.743,101.59,10,83,5.17,broken clouds
324,Reconquista,AR,-29.15,-59.65,90.97,45,4,7.14,clear sky
325,Caravelas,BR,-17.7125,-39.2481,81.32,68,10,8.05,clear sky
326,Mundra,IN,22.85,69.7333,68.81,64,0,9.48,clear sky
327,Saint-Philippe,RE,-21.3585,55.7679,84.2,70,20,5.75,few clouds
328,Kita,ML,13.0349,-9.4895,93.79,9,100,6.08,overcast clouds
329,Halifax,CA,44.6453,-63.5724,30.99,93,80,1.14,broken clouds
330,Coihaique,CL,-45.5752,-72.0662,59.0,55,0,5.75,clear sky
331,Puerto Rico,AR,-26.796,-55.024,82.53,79,41,2.84,scattered clouds
332,Kununurra,AU,-15.7667,128.7333,77.0,100,100,5.75,overcast clouds
333,Barcelos,PT,41.5388,-8.6151,57.2,100,90,16.11,mist
334,Fushan,CN,37.4958,121.2581,33.31,91,0,0.49,clear sky
335,Ust-Nera,RU,64.5667,143.2,-28.32,74,95,3.44,overcast clouds
336,Gimli,CA,50.6336,-96.9907,8.6,85,100,16.11,light snow
337,Cayenne,GF,4.9333,-52.3333,78.8,94,75,9.22,heavy intensity rain
338,Bocas Del Toro,PA,9.3333,-82.25,73.0,40,33,10.0,light rain
339,Buta,CD,2.7858,24.73,99.57,17,72,0.4,broken clouds
340,Mount Gambier,AU,-37.8333,140.7667,64.4,72,61,8.05,broken clouds
341,Chimbote,PE,-9.0853,-78.5783,76.37,62,30,7.63,scattered clouds
342,Tutoia,BR,-2.7619,-42.2744,89.6,66,40,14.97,scattered clouds
